Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
21,0,2,9,2,3,484,1,1,3,1,8,4,0,2610,1,0,0,24,4,3,80,0,3,3,2,3,2,2,2
39,2,1,10,1,3,429,3,1,3,4,3,1,2,17068,1,0,1,14,3,4,80,0,21,3,3,21,9,11,10
35,2,2,18,4,3,1945,2,1,3,2,7,1,2,5561,0,0,0,16,3,4,80,1,6,2,1,5,3,0,4
30,2,1,1,3,3,1241,4,1,3,1,6,2,2,3579,0,0,1,21,4,1,80,1,12,2,3,11,9,5,7
34,1,1,16,4,1,838,3,0,2,1,6,4,0,2553,1,0,0,16,3,3,80,0,6,3,3,5,2,1,3
35,2,1,9,4,1,496,3,1,2,2,0,2,0,6540,9,0,0,19,3,3,80,0,10,5,3,1,1,0,0
21,2,1,1,1,5,1131,4,0,2,1,6,2,0,2070,1,0,1,11,3,3,80,0,2,6,4,2,2,2,2
40,1,1,9,4,3,1166,2,0,3,3,5,3,0,13499,9,0,0,17,3,3,80,0,20,3,2,18,7,2,13
33,2,1,1,5,3,612,1,0,4,4,5,3,1,16184,4,0,0,19,3,3,80,1,10,2,3,6,1,0,5
43,2,1,2,2,3,46,4,0,4,1,6,3,1,2645,1,0,0,12,3,4,80,2,6,3,2,5,3,1,4
48,2,1,4,4,1,1024,3,1,2,3,0,3,0,10999,7,0,0,14,3,2,80,0,27,3,3,15,11,4,8
41,2,1,1,3,1,1999,4,1,3,1,6,4,2,2782,3,0,0,22,4,1,80,1,12,3,3,5,3,1,0
28,2,2,10,1,3,1056,4,1,3,1,8,2,2,1052,1,0,0,22,4,2,80,0,1,5,3,1,0,0,0
42,2,1,7,4,3,1292,2,0,4,2,6,2,2,2372,6,0,1,16,3,4,80,0,18,2,3,1,0,0,0
36,0,1,1,4,3,1662,4,0,2,2,4,3,2,4374,0,0,0,15,3,3,80,0,4,6,3,3,2,1,2
31,2,1,7,4,3,462,3,0,3,3,4,4,0,7143,1,0,1,14,3,3,80,0,11,2,2,11,9,4,10
34,2,2,21,4,1,621,4,1,4,2,7,4,0,5337,1,0,0,12,3,4,80,0,10,3,3,10,7,5,7
31,2,1,12,1,3,246,3,0,3,1,6,4,2,3929,8,0,1,23,4,3,80,1,7,0,3,4,2,0,2
43,2,1,3,3,1,1255,3,1,1,5,5,4,2,19740,3,0,0,14,3,2,80,1,25,2,3,8,7,0,7
44,2,1,10,4,0,40,4,1,3,2,0,4,2,6465,2,0,1,13,3,4,80,0,9,5,4,4,2,1,3
41,0,1,7,1,1,1035,2,0,1,5,5,3,1,19973,1,0,0,22,4,2,80,2,21,3,3,21,16,5,10
35,1,1,4,4,1,1350,3,1,3,2,6,3,0,4249,1,0,1,11,3,2,80,0,9,3,3,9,6,1,1
31,1,1,15,3,3,1160,3,1,3,1,2,3,2,2610,1,0,0,12,3,3,80,1,2,5,2,2,2,2,2
25,2,2,9,2,1,1439,1,1,2,1,8,1,2,4400,3,0,0,12,3,1,80,0,6,2,3,3,2,2,2
27,2,1,1,2,1,725,3,0,3,3,4,1,2,7412,1,0,0,11,3,4,80,0,9,3,3,9,7,0,7
31,1,1,7,2,1,442,3,0,2,3,4,3,2,8943,1,0,0,24,4,1,80,1,10,2,3,10,9,8,9
38,2,1,17,1,1,1088,3,0,2,3,0,3,2,8823,0,0,0,18,3,1,80,1,20,4,2,19,9,1,9
54,1,1,11,4,3,1520,2,0,3,4,3,4,1,16032,3,0,0,20,4,1,80,1,26,2,3,14,9,1,12
57,2,1,1,4,3,482,4,1,3,2,0,3,2,6755,2,0,0,11,3,3,80,0,15,2,3,3,2,1,2
30,0,1,1,1,1,292,3,1,2,3,4,3,0,8474,1,0,0,22,4,3,80,0,12,2,3,11,8,5,8
37,2,1,1,4,1,635,2,0,3,2,4,2,2,6447,6,0,0,12,3,2,80,1,8,2,2,6,5,4,3
31,0,2,20,2,2,947,4,0,3,2,7,3,2,6932,1,0,0,13,3,4,80,1,9,2,2,9,8,0,0
42,2,1,1,2,1,827,4,0,2,2,4,4,2,6062,9,0,1,13,3,4,80,1,8,4,3,4,3,0,2
46,2,0,1,2,1,1314,4,0,3,1,1,1,0,3423,6,0,0,12,3,3,80,0,10,3,4,7,6,5,7
42,2,2,8,4,2,35,3,1,3,2,7,2,2,6825,0,0,0,11,3,4,80,1,10,2,3,9,7,4,2
31,1,2,2,3,1,1379,3,0,2,1,8,4,0,2785,7,0,0,14,3,3,80,0,3,3,4,1,0,0,0
35,2,1,1,3,3,105,2,1,2,1,6,3,0,2859,1,0,0,18,3,1,80,0,6,3,3,6,4,0,4
34,2,0,9,4,5,1467,1,0,3,1,1,3,2,2742,1,0,0,15,3,4,80,0,2,0,3,2,2,2,2
41,0,2,10,2,3,1329,3,1,1,2,7,2,0,6151,1,0,0,13,3,1,80,0,19,4,3,19,2,11,9
47,1,2,9,3,1,1716,3,1,1,4,7,3,2,12936,7,0,0,11,3,3,80,0,25,3,1,23,5,14,10
26,2,1,2,1,3,1407,1,1,2,1,6,4,0,3904,0,0,0,12,3,4,80,0,5,2,3,4,3,1,1
38,2,0,1,3,4,1152,3,1,4,1,1,3,2,2844,1,0,0,13,3,4,80,1,7,2,4,7,6,5,0
37,2,1,3,3,0,689,3,1,3,3,4,3,2,9434,1,0,0,15,3,3,80,1,10,2,3,10,7,7,8
40,2,2,9,2,3,1548,1,1,3,2,7,1,2,5473,0,0,0,12,3,4,80,0,9,5,4,8,4,7,1
52,2,1,2,3,1,316,3,0,2,1,2,4,0,3212,7,0,0,15,3,2,80,0,6,3,2,2,2,2,2
27,2,2,11,3,3,1364,3,0,4,1,8,4,2,2534,8,0,0,14,3,2,80,1,5,4,3,1,0,0,0
27,2,1,2,4,5,1931,2,1,3,1,6,2,2,2226,1,0,0,11,3,3,80,1,6,3,2,5,3,1,2
40,1,1,2,2,3,807,3,0,4,2,0,2,2,4244,1,0,0,24,4,4,80,1,8,2,3,8,7,3,7
46,2,2,2,3,5,363,3,0,1,4,3,2,2,16872,3,0,1,12,3,2,80,1,28,2,2,7,7,7,7
28,2,2,3,3,3,1875,2,0,3,1,8,2,2,2856,1,0,0,19,3,4,80,1,1,3,3,1,0,0,0
58,1,1,15,4,1,1837,1,1,3,4,5,3,2,15787,2,0,1,14,3,2,80,0,23,3,3,2,2,2,2
37,2,1,21,3,1,267,2,1,4,1,6,1,2,3564,1,0,1,12,3,1,80,1,8,3,2,8,7,1,7
34,2,1,10,3,1,934,2,1,3,1,2,2,1,2008,1,0,0,14,3,2,80,2,1,3,3,1,0,1,0
54,2,1,9,2,1,1969,1,0,3,2,6,3,2,2897,3,0,0,11,3,3,80,2,9,6,2,4,3,2,3
32,2,2,1,2,1,1734,1,1,1,2,7,2,0,6735,6,0,0,15,3,2,80,0,10,2,3,0,0,0,0
32,2,1,2,4,3,439,1,0,4,2,6,4,0,5055,7,0,0,16,3,3,80,0,10,0,2,7,7,0,7
34,2,1,1,2,1,649,2,1,2,1,6,4,2,3622,1,0,1,13,3,4,80,1,6,3,3,6,5,1,3
54,0,0,26,3,4,148,4,0,4,4,3,4,0,17328,2,0,1,12,3,3,80,0,23,3,3,5,3,4,4
43,1,1,17,3,5,1767,3,1,2,1,6,3,2,2437,9,0,1,16,3,4,80,1,6,4,3,1,0,0,0
28,2,1,17,3,5,1960,3,1,2,1,2,4,1,2367,5,0,0,12,3,1,80,1,6,2,2,4,1,0,3
44,2,1,3,4,0,671,4,1,3,5,3,4,2,19513,4,0,1,12,3,1,80,1,26,2,4,2,2,0,1
33,2,1,5,3,1,1099,4,1,2,3,0,4,1,7119,4,0,0,15,3,3,80,1,9,2,3,3,2,1,2
36,2,2,13,5,2,1733,2,1,2,2,7,1,1,6134,5,0,1,13,3,2,80,3,16,3,3,2,2,2,2
38,2,2,10,2,1,2041,1,0,3,2,7,4,2,5343,1,0,0,11,3,3,80,1,10,1,3,10,7,1,9
48,2,1,1,2,1,64,1,1,2,3,2,3,0,5381,9,0,1,13,3,4,80,0,23,2,3,1,0,0,0
46,2,2,2,3,1,1732,3,1,3,3,7,4,1,10368,4,0,1,12,3,2,80,1,13,5,2,10,6,0,3
35,2,1,5,4,5,464,3,1,3,3,4,2,0,8095,0,0,0,13,3,4,80,0,17,5,3,16,6,0,13
21,2,2,5,1,3,2021,3,1,3,1,8,1,0,2380,1,0,1,11,3,4,80,0,2,6,3,2,2,1,2
38,2,1,18,3,3,1766,2,1,1,2,0,4,2,5811,3,0,1,16,3,3,80,1,15,2,3,1,0,1,0
39,2,0,3,3,4,760,3,0,4,2,1,2,2,6389,9,0,0,15,3,3,80,1,12,3,1,8,3,3,6
33,1,2,1,3,1,52,3,0,4,2,7,1,2,5376,2,0,0,19,3,1,80,2,10,3,3,5,3,1,3
51,2,1,11,2,5,1367,4,0,2,4,4,2,0,13142,3,0,0,16,3,2,80,0,29,1,2,5,2,0,3
34,2,2,9,1,1,1163,2,0,3,2,7,3,2,5714,1,0,0,20,4,1,80,0,6,3,2,6,5,1,3
23,2,1,20,1,1,1533,1,1,3,2,2,3,0,2272,0,0,0,14,3,2,80,0,5,2,3,4,3,1,2
35,2,1,16,3,3,14,1,1,4,1,2,2,2,2426,0,0,0,13,3,3,80,1,6,5,3,5,4,0,3
31,2,1,11,2,3,1251,3,1,3,2,0,1,2,6833,1,0,1,12,3,4,80,0,6,2,2,6,5,0,1
28,2,1,24,3,1,19,3,1,2,1,2,3,0,2028,5,0,1,14,3,2,80,0,6,4,3,4,2,0,3
28,2,0,8,2,3,869,2,1,2,1,1,4,1,4936,1,0,0,13,3,4,80,1,6,6,3,5,1,0,4
42,1,2,26,3,2,404,3,0,3,4,7,2,2,13525,5,0,0,14,3,4,80,1,23,2,4,20,4,4,8
38,1,1,2,2,3,1760,3,0,2,1,2,2,2,2468,4,0,0,14,3,2,80,1,9,4,2,6,1,0,5
35,2,1,25,3,5,899,4,1,2,3,4,2,2,10903,3,0,0,16,3,1,80,0,16,2,3,13,10,4,8
44,2,0,1,3,1,1683,3,0,3,1,1,4,1,3195,4,0,1,18,3,1,80,3,8,2,3,2,2,2,2
42,1,1,26,5,3,1242,1,0,3,3,5,1,2,13191,3,0,1,17,3,3,80,0,20,6,3,1,0,0,0
46,2,2,9,3,2,1457,1,1,3,3,7,4,1,10096,4,0,0,11,3,1,80,1,28,1,4,7,7,4,3
38,1,1,23,3,1,12,4,1,2,3,4,3,0,9526,0,0,0,21,4,2,80,0,10,2,3,9,7,1,8
35,0,2,8,2,2,1243,3,0,2,3,7,4,2,10377,4,0,1,11,3,2,80,1,16,6,2,13,2,4,12
39,1,1,1,1,1,531,2,1,3,5,3,3,1,19197,1,0,1,14,3,3,80,1,21,3,3,21,8,1,6
26,2,2,8,3,5,796,4,1,2,2,7,1,0,5326,6,0,0,17,3,3,80,0,6,2,2,4,3,1,2
50,2,2,28,3,2,2055,4,1,2,3,7,1,1,10854,4,0,1,13,3,2,80,1,20,3,3,3,2,2,0
30,2,1,7,3,3,1609,2,1,2,1,6,2,2,2141,1,0,0,12,3,2,80,1,6,3,2,6,4,1,1
38,2,1,2,5,3,773,4,1,3,1,6,3,2,3057,6,0,1,13,3,2,80,1,6,0,1,1,0,0,1
39,2,2,6,3,3,1588,4,1,4,3,7,3,2,8237,2,0,0,11,3,1,80,1,11,3,3,7,6,7,6
52,2,1,6,2,5,630,4,1,3,2,6,1,1,5577,3,0,1,12,3,2,80,2,18,3,3,10,9,6,9
29,2,0,6,1,3,1865,4,1,2,1,1,2,2,2804,1,0,0,11,3,4,80,0,1,3,3,1,0,0,0
36,1,0,2,1,4,1890,2,1,2,2,1,4,0,3886,1,0,0,21,4,4,80,0,10,2,2,10,1,0,8
25,2,1,1,3,5,1415,1,1,3,1,2,4,2,3229,4,0,0,11,3,2,80,1,7,2,2,3,2,0,2
33,2,1,8,4,1,1798,4,1,4,1,6,1,2,3143,6,0,0,19,3,2,80,1,14,1,3,10,8,7,6
20,2,1,4,3,5,960,1,1,3,1,2,1,0,2973,1,0,0,19,3,2,80,0,1,2,3,1,0,0,0
45,0,1,1,1,1,1712,3,1,2,3,0,3,2,10748,3,0,0,23,4,4,80,1,25,3,2,23,15,14,4
40,2,2,10,4,2,954,1,1,2,3,7,2,1,9705,2,0,0,12,3,2,80,1,11,2,2,1,0,0,0
50,1,2,8,2,5,723,2,1,3,2,7,3,2,6796,3,0,1,14,3,1,80,1,18,4,3,4,3,1,3
21,2,2,22,1,5,669,3,1,3,1,8,3,0,3447,1,0,0,11,3,3,80,0,3,2,3,3,2,1,2
33,1,1,7,2,1,1970,4,1,3,2,0,3,1,5968,1,0,0,20,4,3,80,3,9,2,3,9,7,2,8
42,1,1,8,3,1,809,2,1,3,5,3,4,1,18430,1,0,0,13,3,2,80,1,24,4,2,24,7,14,9
40,2,1,7,3,1,1649,1,1,3,1,2,1,0,2166,3,0,1,14,3,2,80,0,10,3,1,4,2,0,3
24,2,2,3,2,0,128,1,0,3,2,7,3,2,4999,0,0,0,21,4,1,80,1,4,2,2,3,2,0,2
58,2,1,1,3,3,1423,4,0,3,5,5,1,2,19701,3,0,1,21,4,3,80,1,32,3,3,9,8,1,5
42,2,2,12,4,2,1943,2,1,3,2,7,4,1,5087,3,0,1,12,3,3,80,2,14,4,3,0,0,0,0
35,2,1,2,3,1,1182,3,1,2,3,4,2,1,10274,2,0,0,18,3,2,80,1,15,2,4,7,7,6,4
35,1,1,1,3,3,88,2,1,3,1,6,1,2,2194,4,0,0,13,3,4,80,1,5,2,2,3,2,1,2
34,2,2,7,2,5,1541,2,1,3,1,8,3,2,2308,0,0,1,25,4,2,80,1,12,4,3,11,10,5,7
27,1,1,2,3,3,1648,4,1,3,1,6,4,0,2580,2,0,0,13,3,3,80,0,6,0,2,4,2,1,2
34,2,1,1,4,1,797,2,0,4,1,6,4,0,3280,2,0,0,16,3,3,80,0,10,2,3,4,2,1,3
45,2,1,29,3,3,192,3,1,3,1,6,4,0,3452,5,0,0,13,3,2,80,0,9,2,2,6,5,0,3
27,1,1,1,1,5,274,3,1,2,2,4,1,2,4298,5,0,0,19,3,3,80,1,6,1,3,2,2,2,0
58,2,1,9,3,3,214,2,0,2,1,6,2,2,3346,4,0,1,20,4,2,80,1,9,3,2,1,0,0,0
47,2,1,2,2,3,574,1,0,3,2,4,4,1,5070,5,0,0,13,3,3,80,3,20,2,3,5,0,0,4
41,0,0,4,3,4,1722,3,1,1,2,1,2,2,6430,6,0,0,19,3,2,80,1,10,4,3,3,2,1,2
29,2,1,15,3,1,346,3,1,3,1,6,4,0,2340,1,0,0,19,3,1,80,0,6,1,3,6,5,1,5
37,1,1,10,3,3,342,1,1,3,3,4,3,1,10048,6,0,0,11,3,2,80,2,17,5,3,1,0,0,0
25,2,2,10,4,1,1240,3,1,3,2,7,4,0,4950,0,0,0,14,3,2,80,0,5,4,3,4,3,1,1
34,2,2,13,4,3,1951,4,1,3,3,7,3,1,8628,1,0,0,18,3,3,80,1,9,2,2,8,7,1,1
44,0,1,23,3,3,132,2,1,3,2,2,2,2,2042,4,0,0,12,3,3,80,1,17,3,4,3,2,1,2
39,2,2,21,4,1,1390,1,1,2,2,7,4,2,6120,3,0,1,12,3,4,80,2,8,2,4,5,4,1,4
34,2,2,14,3,5,666,3,0,3,1,8,3,1,2579,1,0,1,18,3,4,80,2,8,3,3,8,2,0,6
23,2,1,10,1,3,784,1,1,4,1,6,3,0,3505,1,0,0,18,3,4,80,0,2,3,3,2,2,0,2
29,2,1,28,4,1,1120,3,0,3,1,6,4,1,2514,4,0,0,22,4,1,80,1,11,1,3,7,5,1,7
22,2,1,11,3,3,511,1,0,3,1,6,2,2,2244,1,0,0,13,3,4,80,1,2,1,3,2,1,1,2
27,0,1,3,3,3,224,3,1,2,1,6,3,1,2566,1,0,1,15,3,4,80,1,1,2,2,1,1,0,1
38,2,1,23,4,1,393,4,1,3,2,0,4,1,5745,9,0,0,14,3,2,80,1,10,2,3,2,2,1,2
42,0,0,2,5,3,1231,4,1,4,2,1,1,2,6272,7,0,0,16,3,1,80,1,10,3,4,4,3,0,3
36,2,1,2,4,1,1294,3,0,3,2,4,2,0,5410,9,0,1,11,3,4,80,0,18,2,3,16,14,5,12
47,1,1,16,4,3,987,3,1,4,2,4,3,1,5067,1,0,1,19,3,3,80,0,20,3,4,19,10,2,7
55,2,1,8,3,3,84,4,0,3,4,3,3,1,14756,2,0,1,14,3,3,80,3,21,2,3,5,0,0,2
25,2,1,19,1,3,1358,4,1,3,1,2,4,2,3669,3,0,0,11,3,3,80,3,7,6,2,3,2,1,2
44,2,1,15,3,3,1295,1,0,3,3,0,4,2,7978,1,0,0,11,3,4,80,1,10,2,3,10,7,0,5
50,1,2,1,4,0,1113,4,1,3,2,7,3,0,4728,3,0,1,14,3,4,80,0,5,4,3,0,0,0,0
33,0,1,4,3,5,1771,4,1,3,2,6,2,1,3055,5,0,0,15,3,4,80,2,11,2,2,9,8,1,7
40,2,1,9,4,1,1534,4,1,3,1,2,1,0,2018,3,0,0,14,3,2,80,0,15,3,1,5,4,1,0
52,2,1,3,3,3,543,4,1,2,3,4,3,2,7969,2,0,1,14,3,3,80,0,28,4,3,5,4,0,4
22,2,1,2,1,5,169,3,1,3,1,2,4,2,2523,0,0,0,14,3,3,80,1,3,2,3,2,1,2,1
32,1,2,5,2,1,889,2,1,3,2,7,2,2,6524,1,0,0,14,3,4,80,1,10,3,3,10,8,5,3
31,1,2,20,3,1,1135,3,1,4,1,8,4,2,2791,0,0,0,12,3,1,80,1,3,4,3,2,2,2,2
37,2,2,3,3,1,152,3,1,3,3,7,4,0,7428,2,0,0,12,3,1,80,0,12,3,3,5,3,1,3
26,2,1,17,4,3,1718,4,1,1,1,2,3,2,2305,1,0,0,15,3,3,80,3,3,3,4,3,2,0,2
26,2,0,25,1,1,177,3,0,3,1,1,3,2,2942,1,0,0,23,4,4,80,1,8,3,3,8,7,5,7
32,0,1,15,4,3,1955,3,0,3,2,0,4,1,6667,5,0,0,18,3,2,80,1,9,6,3,5,1,1,2
30,2,1,28,2,3,441,4,0,3,2,6,4,2,5775,1,0,0,13,3,4,80,2,11,2,3,10,8,1,9
41,2,1,19,2,1,334,3,1,3,2,6,1,1,3072,2,0,0,16,3,1,80,2,17,2,2,1,0,0,0
32,2,1,1,3,1,331,4,1,2,1,2,3,0,3730,0,0,1,14,3,4,80,0,4,2,1,3,2,1,2
58,0,1,1,4,1,422,4,1,1,2,0,3,1,5660,2,0,1,13,3,4,80,1,12,2,3,5,3,1,2
37,2,1,10,3,1,2017,3,0,4,3,5,4,2,13744,1,0,1,25,4,1,80,1,16,2,3,16,11,6,8
27,2,1,3,4,3,700,1,1,2,1,6,4,0,2045,0,0,0,13,3,4,80,0,5,0,3,4,2,1,1
40,2,2,2,2,2,516,4,0,3,2,7,2,1,5715,7,0,0,12,3,3,80,2,8,5,3,5,4,1,3
29,2,1,3,4,3,564,2,1,2,3,5,3,2,11935,1,0,0,18,3,3,80,0,10,2,3,10,2,0,7
39,2,2,2,5,1,985,1,1,4,3,7,3,0,7880,0,0,0,18,3,4,80,0,9,3,3,8,7,0,7
29,0,1,1,1,5,208,4,1,3,2,4,3,2,4319,1,0,0,13,3,1,80,1,10,1,3,10,7,0,9
21,2,1,3,2,3,379,4,1,2,1,6,3,0,3230,1,0,0,17,3,1,80,0,3,4,4,3,2,1,0
35,2,2,16,3,2,406,3,1,3,3,7,2,2,8020,0,0,0,15,3,3,80,2,12,3,2,11,9,6,9
45,2,1,7,3,3,1195,1,0,3,1,6,3,2,4477,4,0,1,19,3,3,80,1,7,2,2,3,2,0,2
34,2,2,3,1,3,1915,4,0,2,2,7,4,2,8103,3,0,1,12,3,3,80,0,9,3,2,4,2,0,1
28,2,2,2,4,2,846,2,0,3,2,7,2,2,4779,1,0,1,20,4,1,80,0,8,2,3,8,7,7,5
44,2,0,1,2,3,1098,2,1,2,3,1,1,2,10482,9,0,0,14,3,4,80,1,24,1,3,20,6,3,6
38,1,0,1,4,0,1972,4,1,3,1,1,2,2,2991,0,0,1,11,3,2,80,1,7,2,3,6,2,1,2
39,0,1,9,3,1,1132,3,1,3,2,2,2,0,6782,9,0,0,15,3,3,80,0,9,2,2,5,4,0,3
32,1,2,8,3,2,207,2,0,3,3,7,4,0,8998,1,0,0,14,3,4,80,0,9,2,3,9,8,3,7
22,2,1,5,3,1,284,4,1,4,1,6,2,1,2328,1,0,1,16,3,1,80,1,4,2,2,4,2,2,2
30,2,2,29,4,1,1211,3,1,3,2,7,1,1,4115,8,0,0,19,3,3,80,3,8,3,3,4,3,0,3
35,2,2,15,2,3,1645,1,1,1,2,7,4,1,5440,6,0,1,14,3,4,80,2,7,2,2,2,2,2,2
37,1,1,9,3,3,403,2,1,3,1,6,4,2,2326,1,0,1,12,3,3,80,3,4,3,2,4,2,1,2
53,2,2,6,2,2,205,2,1,3,2,8,3,2,2306,2,0,1,20,4,4,80,1,13,3,1,7,7,4,5
52,1,1,25,4,3,867,3,0,2,4,4,4,2,13826,3,0,0,22,4,3,80,0,31,3,3,9,8,0,0
55,0,1,2,1,3,1074,3,1,2,4,3,1,0,16756,7,0,0,15,3,2,80,0,31,3,4,9,7,6,2
34,0,1,26,1,5,1374,1,0,2,1,6,3,1,2029,1,0,0,20,4,3,80,3,5,2,3,5,4,0,0
24,2,2,10,4,2,507,4,0,3,2,7,3,1,4260,1,0,1,12,3,4,80,1,5,2,4,5,2,0,3
36,2,1,3,2,1,1664,4,1,4,2,0,1,1,6842,6,0,0,20,4,1,80,1,13,3,3,5,4,0,4
30,2,1,1,3,1,806,4,1,1,1,2,3,2,3833,3,0,0,21,4,3,80,2,7,2,3,2,2,0,2
24,1,1,7,3,1,647,1,0,3,1,2,3,2,2886,1,0,1,16,3,4,80,1,6,4,3,6,3,1,2
33,2,1,7,3,3,817,3,1,3,3,5,3,2,11691,0,0,0,11,3,4,80,0,14,3,4,13,9,3,7
